dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,peakacti_local_pages,addresses,add_id,1,int,,PRIMARY KEY,,,
mysql,peakacti_local_pages,addresses,add_added,9,datetime,,,,,
mysql,peakacti_local_pages,addresses,add_amended,10,datetime,,,,,
mysql,peakacti_local_pages,addresses,add_area,5,varchar,100,,,,
mysql,peakacti_local_pages,addresses,add_by_id,12,int,,,,,
mysql,peakacti_local_pages,addresses,add_disabled,11,datetime,,,,,
mysql,peakacti_local_pages,addresses,add_district_id,8,int,,,,,
mysql,peakacti_local_pages,addresses,add_line1,2,varchar,100,,,,
mysql,peakacti_local_pages,addresses,add_line2,3,varchar,100,,,,
mysql,peakacti_local_pages,addresses,add_line3,4,varchar,100,,,,
mysql,peakacti_local_pages,addresses,add_pcode,7,varchar,10,,,,
mysql,peakacti_local_pages,addresses,add_town_id,6,int,,,,,
mysql,peakacti_unibus,bustimes,code,6,varchar,5,,,,
mysql,peakacti_unibus,bustimes,due,2,varchar,12,,,,
mysql,peakacti_unibus,bustimes,no,3,varchar,5,,,,
mysql,peakacti_unibus,bustimes,place,4,varchar,25,,,,
mysql,peakacti_unibus,bustimes,stop,5,varchar,5,,,,
mysql,peakacti_unibus,categories,typename,2,varchar,25,,,,
mysql,peakacti_local_pages,coregs,reg_id,1,int,,PRIMARY KEY,,,
mysql,peakacti_local_pages,coregs,reg_name,2,varchar,100,,,,
mysql,peakacti_local_pages,districts,district_id,1,int,,PRIMARY KEY,,,
mysql,peakacti_local_pages,districts,district_name,2,varchar,100,,,,
mysql,peakacti_local_pages,events,evt_id,1,int,,PRIMARY KEY,,,
mysql,peakacti_local_pages,events,evt_added,15,datetime,,,,,
mysql,peakacti_local_pages,events,evt_amended,16,datetime,,,,,
mysql,peakacti_local_pages,events,evt_cost_id,14,int,,,,,
mysql,peakacti_local_pages,events,evt_description,4,text,65535,,,,
mysql,peakacti_local_pages,events,evt_disabled,17,datetime,,,,,
mysql,peakacti_local_pages,events,evt_gal_id,12,int,,,,,
mysql,peakacti_local_pages,events,evt_img,11,varchar,100,,,,
mysql,peakacti_local_pages,events,evt_ind_id,13,int,,,,,
mysql,peakacti_local_pages,events,evt_last_id,18,int,,,,,
mysql,peakacti_local_pages,events,evt_location_id,5,int,,,,,
mysql,peakacti_local_pages,events,evt_meet_end,9,datetime,,,,,
mysql,peakacti_local_pages,events,evt_meet_from,8,datetime,,,,,
mysql,peakacti_local_pages,events,evt_meet_info,10,varchar,100,,,,
mysql,peakacti_local_pages,events,evt_name,3,varchar,100,,,,
mysql,peakacti_local_pages,events,evt_pos_id,2,int,,,,,
mysql,peakacti_local_pages,events,evt_show_from,6,datetime,,,,,
mysql,peakacti_local_pages,events,evt_show_to,7,datetime,,,,,
mysql,peakacti_unibus,flags,code,2,varchar,5,,,,
mysql,peakacti_unibus,flags,welcome,3,varchar,25,,,,
